q,elite
Q3_4_A,Joe Biden
Q5_6_A,Joe Biden
Q7_8_A,Joe Biden
Q9_10_A,Joe Biden
Q11_12_A,Joe Biden
Q13_14_A,Joe Biden
Q15_16_A,Joe Biden
Q17_18_A,Joe Biden
Q19_20_A,Joe Biden
Q21_22_A,Kim Kardashian
Q27_28_A,Kim Kardashian
Q33_34_A,Kim Kardashian
Q23_24_A,Kim Kardashian
Q31_32_A,Kim Kardashian
Q35_36_A,Kim Kardashian
Q25_26_A,Kim Kardashian
Q29_30_A,Kim Kardashian
Q37_38_A,Kim Kardashian
Q43_44_A,Elon Musk
Q49_50_A,Elon Musk
Q55_56_A,Elon Musk
Q39_40_A,Elon Musk
Q45_46_A,Elon Musk
Q51_52_A,Elon Musk
Q41_42_A,Elon Musk
Q47_48_A,Elon Musk
Q53_54_A,Elon Musk
Q57_58_A,Taylor Swift
Q63_64_A,Taylor Swift
Q69_70_A,Taylor Swift
Q59_60_A,Taylor Swift
Q67_68_A,Taylor Swift
Q71_72_A,Taylor Swift
Q61_62_A,Taylor Swift
Q65_66_A,Taylor Swift
Q73_74_A,Taylor Swift
Q75_76_A,Donald Trump
Q81_82_A,Donald Trump
Q87_88_A,Donald Trump
Q77_78_A,Donald Trump
Q83_84_A,Donald Trump
Q91_92_A,Donald Trump
Q79_80_A,Donald Trump
Q85_86_A,Donald Trump
Q89_90_A,Donald Trump
