Question,Elite,Facial_Cue,News_Type,DV
Q3_1,Biden,none,factual,trust
Q4_1,Biden,none,factual,feeling
Q5_1,Biden,negative,factual,trust
Q5_2,Biden,negative,factual,trust
Q5_3,Biden,negative,factual,trust
Q5_4,Biden,negative,factual,trust
Q5_5,Biden,negative,factual,trust
Q6_1,Biden,negative,factual,feeling
Q6_2,Biden,negative,factual,feeling
Q6_3,Biden,negative,factual,feeling
Q6_4,Biden,negative,factual,feeling
Q6_5,Biden,negative,factual,feeling
Q7_1,Biden,positive,factual,trust
Q7_2,Biden,positive,factual,trust
Q7_3,Biden,positive,factual,trust
Q7_4,Biden,positive,factual,trust
Q7_5,Biden,positive,factual,trust
Q8_1,Biden,positive,factual,feeling
Q8_2,Biden,positive,factual,feeling
Q8_3,Biden,positive,factual,feeling
Q8_4,Biden,positive,factual,feeling
Q8_5,Biden,positive,factual,feeling
Q9_1,Biden,negative,positive,trust
Q9_2,Biden,negative,positive,trust
Q9_3,Biden,negative,positive,trust
Q9_4,Biden,negative,positive,trust
Q9_5,Biden,negative,positive,trust
Q10_1,Biden,negative,positive,feeling
Q10_2,Biden,negative,positive,feeling
Q10_3,Biden,negative,positive,feeling
Q10_4,Biden,negative,positive,feeling
Q10_5,Biden,negative,positive,feeling
Q11_1,Biden,positive,positive,trust
Q11_2,Biden,positive,positive,trust
Q11_3,Biden,positive,positive,trust
Q11_4,Biden,positive,positive,trust
Q11_5,Biden,positive,positive,trust
Q12_1,Biden,positive,positive,feeling
Q12_2,Biden,positive,positive,feeling
Q12_3,Biden,positive,positive,feeling
Q12_4,Biden,positive,positive,feeling
Q12_5,Biden,positive,positive,feeling
Q13_1,Biden,none,positive,trust
Q14_1,Biden,none,positive,feeling
Q15_1,Biden,negative,negative,trust
Q15_2,Biden,negative,negative,trust
Q15_3,Biden,negative,negative,trust
Q15_4,Biden,negative,negative,trust
Q15_5,Biden,negative,negative,trust
Q16_1,Biden,negative,negative,feeling
Q16_2,Biden,negative,negative,feeling
Q16_3,Biden,negative,negative,feeling
Q16_4,Biden,negative,negative,feeling
Q16_5,Biden,negative,negative,feeling
Q17_1,Biden,positive,negative,trust
Q17_2,Biden,positive,negative,trust
Q17_3,Biden,positive,negative,trust
Q17_4,Biden,positive,negative,trust
Q17_5,Biden,positive,negative,trust
Q18_1,Biden,positive,negative,feeling
Q18_2,Biden,positive,negative,feeling
Q18_3,Biden,positive,negative,feeling
Q18_4,Biden,positive,negative,feeling
Q18_5,Biden,positive,negative,feeling
Q19_1,Biden,none,negative,trust
Q20_1,Biden,none,negative,feeling
Q21_1,Kardashian,none,factual,trust
Q22_1,Kardashian,none,factual,feeling
Q27_1,Kardashian,negative,factual,trust
Q27_2,Kardashian,negative,factual,trust
Q27_3,Kardashian,negative,factual,trust
Q27_4,Kardashian,negative,factual,trust
Q27_5,Kardashian,negative,factual,trust
Q28_1,Kardashian,negative,factual,feeling
Q28_2,Kardashian,negative,factual,feeling
Q28_3,Kardashian,negative,factual,feeling
Q28_4,Kardashian,negative,factual,feeling
Q28_5,Kardashian,negative,factual,feeling
Q33_1,Kardashian,positive,factual,trust
Q33_2,Kardashian,positive,factual,trust
Q33_3,Kardashian,positive,factual,trust
Q33_4,Kardashian,positive,factual,trust
Q33_5,Kardashian,positive,factual,trust
Q34_1,Kardashian,positive,factual,feeling
Q34_2,Kardashian,positive,factual,feeling
Q34_3,Kardashian,positive,factual,feeling
Q34_4,Kardashian,positive,factual,feeling
Q34_5,Kardashian,positive,factual,feeling
Q23_1,Kardashian,none,positive,trust
Q24_1,Kardashian,none,positive,feeling
Q31_1,Kardashian,negative,positive,trust
Q31_2,Kardashian,negative,positive,trust
Q31_3,Kardashian,negative,positive,trust
Q31_4,Kardashian,negative,positive,trust
Q31_5,Kardashian,negative,positive,trust
Q32_1,Kardashian,negative,positive,feeling
Q32_2,Kardashian,negative,positive,feeling
Q32_3,Kardashian,negative,positive,feeling
Q32_4,Kardashian,negative,positive,feeling
Q32_5,Kardashian,negative,positive,feeling
Q35_1,Kardashian,positive,positive,trust
Q35_2,Kardashian,positive,positive,trust
Q35_3,Kardashian,positive,positive,trust
Q35_4,Kardashian,positive,positive,trust
Q35_5,Kardashian,positive,positive,trust
Q36_1,Kardashian,positive,positive,feeling
Q36_2,Kardashian,positive,positive,feeling
Q36_3,Kardashian,positive,positive,feeling
Q36_4,Kardashian,positive,positive,feeling
Q36_5,Kardashian,positive,positive,feeling
Q25_1,Kardashian,none,negative,trust
Q26_1,Kardashian,none,negative,feeling
Q29_1,Kardashian,negative,negative,trust
Q29_2,Kardashian,negative,negative,trust
Q29_3,Kardashian,negative,negative,trust
Q29_4,Kardashian,negative,negative,trust
Q29_5,Kardashian,negative,negative,trust
Q30_1,Kardashian,negative,negative,feeling
Q30_2,Kardashian,negative,negative,feeling
Q30_3,Kardashian,negative,negative,feeling
Q30_4,Kardashian,negative,negative,feeling
Q30_5,Kardashian,negative,negative,feeling
Q37_1,Kardashian,positive,negative,trust
Q37_2,Kardashian,positive,negative,trust
Q37_3,Kardashian,positive,negative,trust
Q37_4,Kardashian,positive,negative,trust
Q37_5,Kardashian,positive,negative,trust
Q38_1,Kardashian,positive,negative,feeling
Q38_2,Kardashian,positive,negative,feeling
Q38_3,Kardashian,positive,negative,feeling
Q38_4,Kardashian,positive,negative,feeling
Q38_5,Kardashian,positive,negative,feeling
Q43_1,Musk,none,positive,trust
Q44_1,Musk,none,positive,feeling
Q49_1,Musk,negative,positive,trust
Q49_2,Musk,negative,positive,trust
Q49_3,Musk,negative,positive,trust
Q49_4,Musk,negative,positive,trust
Q49_5,Musk,negative,positive,trust
Q50_1,Musk,negative,positive,feeling
Q50_2,Musk,negative,positive,feeling
Q50_3,Musk,negative,positive,feeling
Q50_4,Musk,negative,positive,feeling
Q50_5,Musk,negative,positive,feeling
Q55_1,Musk,positive,positive,trust
Q55_2,Musk,positive,positive,trust
Q55_3,Musk,positive,positive,trust
Q55_4,Musk,positive,positive,trust
Q55_5,Musk,positive,positive,trust
Q56_1,Musk,positive,positive,feeling
Q56_2,Musk,positive,positive,feeling
Q56_3,Musk,positive,positive,feeling
Q56_4,Musk,positive,positive,feeling
